ASCII£º !	Dec: 33	Oct:41	Hex: 21
ASCII£º "	Dec: 34	Oct:42	Hex: 22
ASCII£º #	Dec: 35	Oct:43	Hex: 23
ASCII£º $	Dec: 36	Oct:44	Hex: 24
ASCII£º %	Dec: 37	Oct:45	Hex: 25
ASCII£º &	Dec: 38	Oct:46	Hex: 26
ASCII£º '	Dec: 39	Oct:47	Hex: 27
ASCII£º (	Dec: 40	Oct:50	Hex: 28
ASCII£º )	Dec: 41	Oct:51	Hex: 29
ASCII£º *	Dec: 42	Oct:52	Hex: 2a
ASCII£º +	Dec: 43	Oct:53	Hex: 2b
ASCII£º ,	Dec: 44	Oct:54	Hex: 2c
ASCII£º -	Dec: 45	Oct:55	Hex: 2d
ASCII£º .	Dec: 46	Oct:56	Hex: 2e
ASCII£º /	Dec: 47	Oct:57	Hex: 2f
ASCII£º 0	Dec: 48	Oct:60	Hex: 30
ASCII£º 1	Dec: 49	Oct:61	Hex: 31
ASCII£º 2	Dec: 50	Oct:62	Hex: 32
ASCII£º 3	Dec: 51	Oct:63	Hex: 33
ASCII£º 4	Dec: 52	Oct:64	Hex: 34
ASCII£º 5	Dec: 53	Oct:65	Hex: 35
ASCII£º 6	Dec: 54	Oct:66	Hex: 36
ASCII£º 7	Dec: 55	Oct:67	Hex: 37
ASCII£º 8	Dec: 56	Oct:70	Hex: 38
ASCII£º 9	Dec: 57	Oct:71	Hex: 39
ASCII£º :	Dec: 58	Oct:72	Hex: 3a
ASCII£º ;	Dec: 59	Oct:73	Hex: 3b
ASCII£º <	Dec: 60	Oct:74	Hex: 3c
ASCII£º =	Dec: 61	Oct:75	Hex: 3d
ASCII£º >	Dec: 62	Oct:76	Hex: 3e
ASCII£º ?	Dec: 63	Oct:77	Hex: 3f
ASCII£º @	Dec: 64	Oct:100	Hex: 40
ASCII£º A	Dec: 65	Oct:101	Hex: 41
ASCII£º B	Dec: 66	Oct:102	Hex: 42
ASCII£º C	Dec: 67	Oct:103	Hex: 43
ASCII£º D	Dec: 68	Oct:104	Hex: 44
ASCII£º E	Dec: 69	Oct:105	Hex: 45
ASCII£º F	Dec: 70	Oct:106	Hex: 46
ASCII£º G	Dec: 71	Oct:107	Hex: 47
ASCII£º H	Dec: 72	Oct:110	Hex: 48
ASCII£º I	Dec: 73	Oct:111	Hex: 49
ASCII£º J	Dec: 74	Oct:112	Hex: 4a
ASCII£º K	Dec: 75	Oct:113	Hex: 4b
ASCII£º L	Dec: 76	Oct:114	Hex: 4c
ASCII£º M	Dec: 77	Oct:115	Hex: 4d
ASCII£º N	Dec: 78	Oct:116	Hex: 4e
ASCII£º O	Dec: 79	Oct:117	Hex: 4f
ASCII£º P	Dec: 80	Oct:120	Hex: 50
ASCII£º Q	Dec: 81	Oct:121	Hex: 51
ASCII£º R	Dec: 82	Oct:122	Hex: 52
ASCII£º S	Dec: 83	Oct:123	Hex: 53
ASCII£º T	Dec: 84	Oct:124	Hex: 54
ASCII£º U	Dec: 85	Oct:125	Hex: 55
ASCII£º V	Dec: 86	Oct:126	Hex: 56
ASCII£º W	Dec: 87	Oct:127	Hex: 57
ASCII£º X	Dec: 88	Oct:130	Hex: 58
ASCII£º Y	Dec: 89	Oct:131	Hex: 59
ASCII£º Z	Dec: 90	Oct:132	Hex: 5a
ASCII£º [	Dec: 91	Oct:133	Hex: 5b
ASCII£º \	Dec: 92	Oct:134	Hex: 5c
ASCII£º ]	Dec: 93	Oct:135	Hex: 5d
ASCII£º ^	Dec: 94	Oct:136	Hex: 5e
ASCII£º _	Dec: 95	Oct:137	Hex: 5f
ASCII£º `	Dec: 96	Oct:140	Hex: 60
ASCII£º a	Dec: 97	Oct:141	Hex: 61
ASCII£º b	Dec: 98	Oct:142	Hex: 62
ASCII£º c	Dec: 99	Oct:143	Hex: 63
ASCII£º d	Dec: 100	Oct:144	Hex: 64
ASCII£º e	Dec: 101	Oct:145	Hex: 65
ASCII£º f	Dec: 102	Oct:146	Hex: 66
ASCII£º g	Dec: 103	Oct:147	Hex: 67
ASCII£º h	Dec: 104	Oct:150	Hex: 68
ASCII£º i	Dec: 105	Oct:151	Hex: 69
ASCII£º j	Dec: 106	Oct:152	Hex: 6a
ASCII£º k	Dec: 107	Oct:153	Hex: 6b
ASCII£º l	Dec: 108	Oct:154	Hex: 6c
ASCII£º m	Dec: 109	Oct:155	Hex: 6d
ASCII£º n	Dec: 110	Oct:156	Hex: 6e
ASCII£º o	Dec: 111	Oct:157	Hex: 6f
ASCII£º p	Dec: 112	Oct:160	Hex: 70
ASCII£º q	Dec: 113	Oct:161	Hex: 71
ASCII£º r	Dec: 114	Oct:162	Hex: 72
ASCII£º s	Dec: 115	Oct:163	Hex: 73
ASCII£º t	Dec: 116	Oct:164	Hex: 74
ASCII£º u	Dec: 117	Oct:165	Hex: 75
ASCII£º v	Dec: 118	Oct:166	Hex: 76
ASCII£º w	Dec: 119	Oct:167	Hex: 77
ASCII£º x	Dec: 120	Oct:170	Hex: 78
ASCII£º y	Dec: 121	Oct:171	Hex: 79
ASCII£º z	Dec: 122	Oct:172	Hex: 7a
ASCII£º {	Dec: 123	Oct:173	Hex: 7b
ASCII£º |	Dec: 124	Oct:174	Hex: 7c
ASCII£º }	Dec: 125	Oct:175	Hex: 7d
ASCII£º ~	Dec: 126	Oct:176	Hex: 7e
